date;home_team;away_team;home_score;away_score;competition;stadium;city;country;neutral;world_cup;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;snow_depth_mm;avg_wind_dir_deg;avg_wind_speed_kmh;peak_wind_gust_kmh;avg_sea_level_pres_hpa
2019-09-21;France;Argentina;23;21;2019 Rugby World Cup Pool match;Tokyo Stadium;Tokyo;Japan;TRUE;TRUE;Autumn;21.4;20.4;24.1;0.0;;37.0;8.3;;1021.1
2019-09-21;New Zealand;South Africa;23;13;2019 Rugby World Cup Pool B;International Stadium Yokohama;Yokohama;Japan;TRUE;TRUE;;;;;;;;;;
2019-09-07;Ireland;Wales;19;10;2019 Rugby World Cup warm-up tests;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Autumn;12.5;10.2;18.7;0.0;;303.0;15.0;33.3;1026.7
2019-09-06;England;Italy;37;0;2019 Rugby World Cup Warm-up;St James' Park;Newcastle upon Tyne;England;FALSE;FALSE;;;;;;;;;;
2019-08-31;Wales;Ireland;17;22;2019 Rugby World Cup warm-up tests;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2019-08-30;France;Italy;47;19;2019 Rugby World Cup warm-up match;Stade de France;Saint-Denis;France;FALSE;FALSE;Summer;20.8;12.8;28.2;0.0;;61.0;8.3;24.0;1022.5
2019-08-24;England;Ireland;57;15;2019 Rugby World Cup Warm-up;Twickenham;London;England;FALSE;FALSE;Summer;21.8;13.0;29.9;0.0;;128.0;5.8;31.5;1019.2
2019-08-24;Scotland;France;17;14;2019 Rugby World Cup warm-up;Murrayfield;Edinburgh;Scotland;FALSE;FALSE;Summer;17.0;10.9;24.2;0.0;;95.0;7.5;25.9;1018.0
2019-08-17;France;Scotland;32;3;2019 Rugby World Cup warm-up;Allianz Riviera;Nice;France;FALSE;FALSE;;;;;;;;;;
2019-08-17;Wales;England;13;6;2019 Rugby World Cup warm-up;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
